FUID,Number_of_Occurrences,Platforms,Platform_Count
FUID-JINA:01884-19883-2,2,"AWS, AZURE",2
FUID-SPACE:00221-0297-00,2,AZURE,1
FUID-RESOU:06966-28427-00,2,"AWS, AZURE",2
FUID-QUANT:03200-10407-00,2,"AWS, AZURE",2
FUID-VIRTU:09274-38055-00,2,"AWS, AZURE",2
FUID-IBMSO:02537-19896-00,2,"AWS, AZURE",2
FUID-CYGNA:02539-10402-sv20,2,"AWS, AZURE",2
FUID-DATAP:11473-46693-00,2,AZURE,1
FUID-ELITE:00240-0317-00,2,AZURE,1
FUID-IBASE:00241-0318-00,2,"AWS, AZURE",2
FUID-THEOM:03194-10392-00,2,"AWS, AZURE",2
FUID-AVANT:03193-10390-00,2,"AWS, AZURE",2
FUID-QUANT:08261-47184-00,2,AZURE,1
FUID-IMMER:09142-37471-00,2,AWS,1
FUID-CONGA:02079-10937-00,2,AWS,1
FUID-EXPER:09477-38588-00,2,"AWS, AZURE",2
FUID-INFRA:00476-0908-24.04,2,"AWS, GCP",2
FUID-ELAST:00499-0909-00,2,"AWS, GCP",2
FUID-KCLOU:02068-27228-00,2,AZURE,1
FUID-APPS4:00107-1347-22.04,2,"AZURE, GCP",2
FUID-ACCRE:07137-29182-00,2,AWS,1
FUID-ONLIN:00724-1360-00,2,"AWS, GCP",2
FUID-BUSIN:00729-1374-00,2,"AWS, GCP",2
FUID-FEENI:00730-1379-00,2,"AZURE, GCP",2
FUID-DECYP:00369-1380-00,2,"AZURE, GCP",2
FUID-IVANT:00455-36534-00,2,AZURE,1
FUID-SPECT:02687-10424-00,2,"AWS, AZURE",2
FUID-VIRTR:01249-28410-00,2,"AWS, AZURE",2
FUID-TINYB:00734-1388-00,2,"AWS, GCP",2
FUID-KCLOU:02068-59617-00,2,AZURE,1
FUID-MADAR:01072-10327-10,2,"AWS, AZURE",2
FUID-MADAR:01072-10326-8,2,AWS,1
FUID-AMAZO:02462-19980-00,2,AWS,1
FUID-MADAR:01072-10324-22.04,2,"AWS, AZURE",2
FUID-IVANT:00455-46627-00,2,AZURE,1
FUID-AVANT:03193-38154-00,2,"AWS, AZURE",2
FUID-VOTEE:09309-38162-00,2,"AWS, AZURE",2
FUID-DNANE:00314-0421-00,2,"AWS, AZURE",2
FUID-VEGA:09107-37383-00,2,AWS,1
FUID-JINA:01884-20000-1.5b,2,"AWS, AZURE",2
FUID-COREN:02986-37379-00,2,"AWS, AZURE",2
FUID-COHER:01124-20003-082024,2,AWS,1
FUID-COHER:01124-20004-082024,2,AWS,1
FUID-AMAZO:02462-20014-2,2,AWS,1
FUID-FORTA:01561-10295-00,2,"AWS, AZURE",2
FUID-BCLOU:00337-0444-00,2,GCP,1
FUID-MAKON:14854-55651-00,2,AZURE,1
FUID-DXC:02786-28475-00,2,AWS,1
FUID-CONTE:02964-9927-00,2,"AWS, AZURE",2
FUID-AMAZO:02462-19945-00,2,AWS,1
FUID-FORMS:09140-37469-00,2,"AWS, AZURE",2
FUID-SECUL:11492-46748-00,2,AZURE,1
FUID-GEVER:05612-27980-00,2,"AWS, AZURE",2
FUID-GEVER:05612-27979-00,2,"AWS, AZURE",2
FUID-COGNO:01048-55481-7,2,AZURE,1
FUID-LEENA:06956-28399-00,2,"AWS, AZURE",2
FUID-APPS4:00107-55487-20.04,2,AZURE,1
FUID-APPS4:00107-1384-11,2,"AZURE, GCP",2
FUID-SCALE:00487-1398-00,2,"AWS, GCP",2
FUID-BETTE:06520-27023-00,2,AZURE,1
FUID-PTBOT:11292-46002-00,2,AZURE,1
FUID-COGNO:01048-46256-latest,2,AZURE,1
FUID-COGNO:01048-56312-22.04,2,AZURE,1
FUID-COGNO:01048-56313-20.04,2,AZURE,1
FUID-SOPHO:01141-36614-00,2,AZURE,1
FUID-SUSE:00378-36613-00,2,AZURE,1
FUID-CREST:00694-1297-00,2,"AWS, GCP",2
FUID-AXWAY:06632-27263-00,2,"AWS, AZURE",2
FUID-COGNO:01048-56328-18.04,2,AZURE,1
FUID-KNIME:02918-18518-00,2,"AWS, AZURE",2
FUID-COGNO:01048-56330-22.04,2,AZURE,1
FUID-HEXAG:06578-27164-00,2,AZURE,1
FUID-PRIME:07156-29253-00,2,"AWS, AZURE",2
FUID-PERFO:01865-18401-22.04,2,"AWS, AZURE",2
FUID-PERFO:01865-18400-9,2,"AWS, AZURE",2
FUID-BANSI:02130-54013-8.7,2,AZURE,1
FUID-STRII:00547-1579-00,2,"AZURE, GCP",2
FUID-APPS4:00107-1591-20.04,2,"AZURE, GCP",2
FUID-ROCKE:02897-9415-00,2,"AWS, AZURE",2
FUID-SELEF:02895-9413-00,2,"AWS, AZURE",2
FUID-UIURB:11219-45775-00,2,AZURE,1
FUID-GREML:01678-27049-00,2,AZURE,1
FUID-BCLOU:00337-36329-00,2,AZURE,1
FUID-PROPH:00806-1619-00,2,"AWS, GCP",2
FUID-SPIRE:04658-18251-00,2,"AWS, AZURE",2
FUID-MULTI:14417-53963-00,2,AZURE,1
FUID-SILVE:03805-18246-00,2,"AWS, AZURE",2
FUID-OPENT:00714-65198-00,2,AZURE,1
FUID-TERAD:00561-18540-00,2,"AWS, AZURE",2
FUID-FLEXE:02947-38892-00,2,"AWS, AZURE",2
FUID-BARRA:01161-9610-00,2,"AWS, AZURE",2
FUID-COHER:01124-18545-H100,2,AWS,1
FUID-EMOPT:07146-29227-00,2,AWS,1
FUID-CATON:02650-9559-00,2,"AWS, AZURE",2
FUID-GIGAM:00537-1412-00,2,"AWS, GCP",2
FUID-BECHT:03694-29232-00,2,AWS,1
FUID-WILDM:14480-54136-00,2,AZURE,1
FUID-ZETTA:00742-1422-00,2,"AZURE, GCP",2
FUID-WORKS:01976-36496-00,2,AZURE,1
FUID-ATHIN:02588-54128-00,2,AZURE,1
FUID-PCLOU:00218-36493-00,2,AZURE,1
FUID-NETSK:00861-9546-00,2,AWS,1
FUID-CONFI:06581-27170-00,2,AZURE,1
FUID-COLLA:02922-9539-00,2,"AWS, AZURE",2
FUID-SILVE:03805-18435-00,2,"AWS, AZURE",2
FUID-STRII:00547-1318-00,2,"AWS, GCP",2
FUID-CABEM:06626-27253-00,2,AZURE,1
FUID-HYMDL:09599-38920-00,2,"AWS, AZURE",2
FUID-DATAE:00669-1242-00,2,"AWS, GCP",2
FUID-INFRA:00476-36652-00,2,AZURE,1
FUID-SAMBA:01927-18564-00,2,"AWS, AZURE",2
FUID-INTEN:00674-1256-00,2,"AZURE, GCP",2
FUID-DEEPJ:06642-27285-00,2,AZURE,1
FUID-MATER:00675-1258-00,2,"AZURE, GCP",2
FUID-ADOBE:00676-1259-00,2,"AZURE, GCP",2
FUID-PCLOU:00218-36639-00,2,AZURE,1
FUID-DATAI:00425-18551-00,2,"AWS, AZURE",2
FUID-DECUB:00679-1271-00,2,"AWS, GCP",2
FUID-JOHNS:04791-18547-00,2,"AWS, AZURE",2
FUID-BITNA:00344-5598-00,2,"AZURE, GCP",2
FUID-CHERW:02013-6991-00,2,"AWS, AZURE",2
FUID-CUBEB:01303-5587-00,2,"AZURE, GCP",2
FUID-SCYLL:00849-2356-00,2,"AWS, GCP",2
FUID-IVANT:00455-56880-00,2,AZURE,1
FUID-CLOUD:01547-45493-00,2,AZURE,1
FUID-ISLAN:08184-35989-00,2,"AWS, AZURE",2
FUID-JMINF:00902-1981-00,2,"AWS, GCP",2
FUID-ROGO:07248-29658-00,2,"AWS, AZURE",2
FUID-STREA:11086-45380-00,2,AZURE,1
FUID-NURAS:06361-26668-00,2,AZURE,1
FUID-FOUND:02061-17791-9,2,AWS,1
FUID-MINIO:02767-8836-00,2,"AWS, AZURE",2
FUID-WASSA:07301-29909-00,2,"AWS, AZURE",2
FUID-THING:00589-39803-00,2,"AWS, AZURE",2
FUID-EQUIX:06311-26554-00,2,"AWS, AZURE",2
FUID-CHALK:01012-2357-00,2,"AWS, GCP",2
FUID-INDUC:09878-39799-00,2,"AWS, AZURE",2
FUID-SPEKT:00919-26603-00,2,AZURE,1
FUID-VOLO:07296-29902-00,2,"AWS, AZURE",2
FUID-MYABC:11032-45258-00,2,AZURE,1
FUID-INFRA:00476-2350-24.04,2,"AZURE, GCP",2
FUID-APPS4:00107-2349-22.04,2,"AZURE, GCP",2
FUID-TIDAL:00029-71530-8.4,2,AZURE,1
FUID-AIRBY:01005-2341-00,2,"AWS, GCP",2
FUID-BITNA:00344-2336-00,2,"AZURE, GCP",2
FUID-BITNA:00344-2329-00,2,"AZURE, GCP",2
FUID-AODN:05359-21491-00,2,AWS,1
FUID-BANSI:02130-35687-7.8,2,AZURE,1
FUID-MISTR:00982-2318-3.1,2,"AZURE, GCP",2
FUID-SUGER:01217-29877-00,2,"AWS, AZURE",2
FUID-ATHIN:02588-26580-00,2,AZURE,1
FUID-INFRA:00476-35983-00,2,AZURE,1
FUID-CISCO:01191-35982-00,2,AZURE,1
FUID-SERVI:06395-26781-00,2,AZURE,1
FUID-INFRA:00476-35980-00,2,AZURE,1
FUID-KORE:04681-18001-00,2,"AWS, AZURE",2
FUID-KORE:04681-18002-00,2,"AWS, AZURE",2
FUID-KORE:04681-18003-00,2,"AWS, AZURE",2
FUID-MPHAS:03333-21187-00,2,AWS,1
FUID-KCLOU:02068-26829-00,2,AZURE,1
FUID-INTAP:06335-53739-00,2,AZURE,1
FUID-FIVET:00887-1910-00,2,"AZURE, GCP",2
FUID-UBISE:09767-39425-00,2,"AWS, AZURE",2
FUID-YASEE:00884-1905-9,2,"AZURE, GCP",2
FUID-SOFTW:03224-12074-00,2,AWS,1
FUID-FPTIS:02425-71860-00,2,AZURE,1
FUID-SOFTW:03224-12075-00,2,AWS,1
FUID-IYARN:06412-26787-00,2,AZURE,1
FUID-REDHA:01014-9088-7,2,AWS,1
FUID-SCALE:04690-17926-00,2,"AWS, AZURE",2
FUID-ISOVA:02803-9090-00,2,"AWS, AZURE",2
FUID-DATAD:01596-17928-00,2,"AWS, AZURE",2
FUID-PANZU:00792-2016-8.5.0,2,"AZURE, GCP",2
FUID-PROMP:04693-17932-00,2,"AWS, AZURE",2
FUID-APPS4:00107-2010-20.04,2,"AZURE, GCP",2
FUID-合肥安永信:11926-48288-00,2,AZURE,1
FUID-ANARI:00406-2006-0.82.0,2,"AZURE, GCP",2
FUID-REALV:16404-71828-00,2,AZURE,1
FUID-PYPES:00912-2027-00,2,"AWS, GCP",2
FUID-STARB:00618-2004-00,2,"AWS, GCP",2
FUID-AVIAT:00363-9103-00,2,"AWS, AZURE",2
FUID-BCLOU:00337-1996-00,2,"AZURE, GCP",2
FUID-KONG:00579-8875-00,2,AWS,1
FUID-APPS4:00107-2371-2019,2,"AZURE, GCP",2
FUID-POSID:19602-71507-00,2,AZURE,1
FUID-WEBAL:06340-26620-00,2,"AWS, AZURE",2
FUID-BCLOU:00337-2239-00,2,"AZURE, GCP",2
FUID-AMPER:00969-2238-00,2,"AZURE, GCP",2
FUID-SMART:11061-45331-00,2,AZURE,1
FUID-BCLOU:00337-57064-00,2,AZURE,1
FUID-ANITI:04621-17747-00,2,"AWS, AZURE",2
FUID-PCLOU:00218-35778-00,2,AZURE,1
FUID-QUANT:06339-26619-00,2,AZURE,1
FUID-BCLOU:00337-57057-00,2,AZURE,1
FUID-BAYER:02240-26638-00,2,AZURE,1
FUID-BENTO:00961-2212-00,2,"AWS, GCP",2
FUID-BCLOU:00337-57048-00,2,AZURE,1
FUID-REDHA:01014-35795-00,2,AZURE,1
FUID-HOSST:00723-8953-00,2,"AWS, AZURE",2
FUID-TIDAL:00029-8954-10,2,"AWS, AZURE",2
FUID-MARKE:14269-53529-00,2,AZURE,1
FUID-FOUND:02061-17779-9,2,AWS,1
FUID-ESRI:02595-35808-00,2,AZURE,1
FUID-BCLOU:00337-57025-00,2,AZURE,1
FUID-BARRA:01161-35782-00,2,AZURE,1
FUID-BLOOM:02609-8287-00,2,"AWS, AZURE",2
FUID-ROHIR:06338-26617-00,2,AZURE,1
FUID-CLAZA:01485-29836-00,2,"AWS, AZURE",2
FUID-COLLI:00651-2300-00,2,"AWS, GCP",2
FUID-AWS:05343-21468-00,2,AWS,1
FUID-INFRA:00476-2292-20.04,2,"AWS, GCP",2
